Genus,Count,Sum,Mean,SD,Median,Max,Min
Moorea,1,7664,7664,0,7664,7664,7664
Pannonibacter,1,7628,7628,0,7628,7628,7628
Chitinimonas,1,7529,7529,0,7529,7529,7529
Cellulophaga,1,7526,7526,0,7526,7526,7526
Nodosilinea,1,7469,7469,0,7469,7469,7469
Caldithrix,1,7449,7449,0,7449,7449,7449
Labilithrix,1,7440,7440,0,7440,7440,7440
Butyricimonas,1,7354,7354,0,7354,7354,7354
Rhodoferax,1,7325,7325,0,7325,7325,7325
Caldalkalibacillus,1,7314,7314,0,7314,7314,7314
Morococcus,1,7234,7234,0,7234,7234,7234
Kutzneria,1,7209,7209,0,7209,7209,7209
Gelidibacter,1,7183,7183,0,7183,7183,7183
Arcobacter,1,7171,7171,0,7171,7171,7171
Acidihalobacter,1,7166,7166,0,7166,7166,7166
Stenoxybacter,1,7145,7145,0,7145,7145,7145
Steroidobacter,1,7141,7141,0,7141,7141,7141
Glutamicibacter,1,7136,7136,0,7136,7136,7136
Lamprocystis,1,7124,7124,0,7124,7124,7124
Desulfobacterium,1,7122,7122,0,7122,7122,7122
Cystobacter,1,7067,7067,0,7067,7067,7067
Thiobacillus,1,7065,7065,0,7065,7065,7065
Parachlamydia,1,7036,7036,0,7036,7036,7036
Scardovia,1,6921,6921,0,6921,6921,6921
Ottowia,1,6916,6916,0,6916,6916,6916
Syntrophaceticus,1,6914,6914,0,6914,6914,6914
Tamlana,1,6756,6756,0,6756,6756,6756
Psychrilyobacter,1,6600,6600,0,6600,6600,6600
Entomoplasma,1,6494,6494,0,6494,6494,6494
Mobiluncus,1,6476,6476,0,6476,6476,6476
Methylomicrobium,1,6336,6336,0,6336,6336,6336
Akkermansia,1,6320,6320,0,6320,6320,6320
Ulvibacter,1,6283,6283,0,6283,6283,6283
Tepidiphilus,1,6239,6239,0,6239,6239,6239
Microcoleus,1,6203,6203,0,6203,6203,6203
Erwinia,1,6157,6157,0,6157,6157,6157
Phenylobacterium,1,6144,6144,0,6144,6144,6144
Arenimonas,1,5877,5877,0,5877,5877,5877
Dichelobacter,1,5805,5805,0,5805,5805,5805
Brachymonas,1,5803,5803,0,5803,5803,5803
Holospora,1,5798,5798,0,5798,5798,5798
Leclercia,1,5784,5784,0,5784,5784,5784
Phycisphaera,1,5776,5776,0,5776,5776,5776
Sporolactobacillus,1,5716,5716,0,5716,5716,5716
Gemmatimonas,1,5641,5641,0,5641,5641,5641
Schlesneria,1,5634,5634,0,5634,5634,5634
Indibacter,1,5619,5619,0,5619,5619,5619
Pararhodospirillum,1,5602,5602,0,5602,5602,5602
Thiorhodococcus,1,5601,5601,0,5601,5601,5601
Cecembia,1,5545,5545,0,5545,5545,5545
Alysiella,1,5528,5528,0,5528,5528,5528
Planktothrix,1,5424,5424,0,5424,5424,5424
Terriglobus,1,5385,5385,0,5385,5385,5385
Oceanimonas,1,5369,5369,0,5369,5369,5369
Bhargavaea,1,5328,5328,0,5328,5328,5328
Inquilinus,1,5324,5324,0,5324,5324,5324
Moellerella,1,5323,5323,0,5323,5323,5323
Algicola,1,5312,5312,0,5312,5312,5312
Odoribacter,1,5308,5308,0,5308,5308,5308
Mesoflavibacter,1,5255,5255,0,5255,5255,5255
Acetonema,1,5219,5219,0,5219,5219,5219
Sulfurovum,1,5167,5167,0,5167,5167,5167
Gluconobacter,1,5137,5137,0,5137,5137,5137
Actinospica,1,5084,5084,0,5084,5084,5084
Algibacter,1,5035,5035,0,5035,5035,5035
Gloeocapsa,1,5031,5031,0,5031,5031,5031
Caenimonas,1,5011,5011,0,5011,5011,5011
Sodalis,1,4930,4930,0,4930,4930,4930
Solimonas,1,4916,4916,0,4916,4916,4916
Spirosoma,1,4907,4907,0,4907,4907,4907
Faecalibacterium,1,4895,4895,0,4895,4895,4895
Microbulbifer,1,4881,4881,0,4881,4881,4881
Coleofasciculus,1,4869,4869,0,4869,4869,4869
Azovibrio,1,4867,4867,0,4867,4867,4867
Azotobacter,1,4735,4735,0,4735,4735,4735
Chondromyces,1,4717,4717,0,4717,4717,4717
Alloactinosynnema,1,4714,4714,0,4714,4714,4714
Hyphomicrobium,1,4664,4664,0,4664,4664,4664
Dermacoccus,1,4643,4643,0,4643,4643,4643
Desulfotalea,1,4613,4613,0,4613,4613,4613
Belliella,1,4578,4578,0,4578,4578,4578
Verrucomicrobium,1,4556,4556,0,4556,4556,4556
Snodgrassella,1,4527,4527,0,4527,4527,4527
Oleispira,1,4424,4424,0,4424,4424,4424
Ornithinibacillus,1,4414,4414,0,4414,4414,4414
Anditalea,1,4260,4260,0,4260,4260,4260
Acidithrix,1,4251,4251,0,4251,4251,4251
Desulfuromonas,1,4245,4245,0,4245,4245,4245
Caenispirillum,1,4231,4231,0,4231,4231,4231
Alloprevotella,1,4205,4205,0,4205,4205,4205
Alkaliphilus,1,4158,4158,0,4158,4158,4158
Microtetraspora,1,4126,4126,0,4126,4126,4126
Laribacter,1,4114,4114,0,4114,4114,4114
Rathayibacter,1,4056,4056,0,4056,4056,4056
Cephaloticoccus,1,4030,4030,0,4030,4030,4030
Wigglesworthia,1,4026,4026,0,4026,4026,4026
Lachnoanaerobaculum,1,3989,3989,0,3989,3989,3989
Mageeibacillus,1,3980,3980,0,3980,3980,3980
Orientia,1,3941,3941,0,3941,3941,3941
Kaistia,1,3939,3939,0,3939,3939,3939
Paenarthrobacter,1,3929,3929,0,3929,3929,3929
Buttiauxella,1,3921,3921,0,3921,3921,3921
Epilithonimonas,1,3916,3916,0,3916,3916,3916
Commensalibacter,1,3909,3909,0,3909,3909,3909
Rubellimicrobium,1,3889,3889,0,3889,3889,3889
Turicibacter,1,3868,3868,0,3868,3868,3868
Catabacter,1,3860,3860,0,3860,3860,3860
Petrotoga,1,3826,3826,0,3826,3826,3826
Frondihabitans,1,3803,3803,0,3803,3803,3803
Cedecea,1,3772,3772,0,3772,3772,3772
Xanthobacter,1,3756,3756,0,3756,3756,3756
Vogesella,1,3735,3735,0,3735,3735,3735
Sulfurimonas,1,3707,3707,0,3707,3707,3707
Chitinophaga,1,3697,3697,0,3697,3697,3697
Zavarzinella,1,3688,3688,0,3688,3688,3688
Actinomadura,1,3634,3634,0,3634,3634,3634
