Genus,Count,Sum,Mean,SD,Median,Max,Min
Carnobacterium,3,9595.82977898,3198.60992632667,2106.31271867395,3985.84779822,4797.91488974,812.06709102
Balneimonas,10,9298.33531551,929.833531551,1430.40577025956,262.8860891,4649.16765773,94.21221586
Janthinobacterium,20,9016.124993818,450.8062496909,1035.58864170114,88.1276249125,4508.062496539,31.0856828
Campylobacter,9,8989.312484293,998.812498254778,1440.85661385248,377.8175344,4494.65624199,76.35927248
Phascolarctobacterium,2,8803.63986,4401.81993,0,4401.81993,4401.81993,4401.81993
Alishewanella,3,8743.5590324,2914.51967746667,2077.70068202982,3836.3852736,4371.779516,535.3942428
Enterococcus,6,8732.30467292,1455.38411215333,1547.66810289146,738.47119399,4366.15233616,350.5166824
Desemzia,4,8607.222061038,2151.8055152595,1799.75537599471,2139.6633189795,4303.611030399,24.28439268
Adhaeribacter,9,8546.140593313,949.571177034778,1378.95367905295,539.772934,4273.070296411,7.914847402
Flavisolibacter,6,8000.64542548,1333.44090424667,1435.72079204659,884.61347319,4000.32271248,158.59599102
Burkholderia,10,7947.04251906,794.704251906,1190.22224011103,418.801856195,3973.5212597,26.5262442
Xanthobacter,3,7863.70888849,2621.23629616333,1798.31568920548,3360.79258163,3931.854444045,571.061862815
Pantoea,6,7659.43228054,1276.57204675667,1361.84945701616,701.635513185,3829.7161402,316.8796222
Blautia,16,7405.316876675,462.832304792187,910.155010991631,144.3555216,3702.658438225,10.03682721
Pseudorhodoferax,2,7368.769896,3684.384948,0,3684.384948,3684.384948,3684.384948
Gemmatimonas,7,7238.99705739,1034.14243677,1381.65115165478,352.8767264,3619.4985284,4.66485267
Daeguia,2,7233.15402874,3616.57701437,0,3616.57701437,3616.57701437,3616.57701437
Jeotgalicoccus,5,7192.74287091,1438.548574182,1491.29141257638,486.98542781,3596.37143566,336.2796064
Salinimicrobium,4,6870.19084354,1717.547710885,1300.29615921425,1576.32553406,3435.09542182,282.4443536
Vibrio,4,6836.63088755,1709.1577218875,1588.03917253421,1691.6580679,3418.31544385,34.9993079
Ruminococcus,9,6827.180115292,758.575568365778,779.317938774156,445.75106603,2498.857351756,106.78068948
Actinobacillus,6,6827.139471151,1137.85657852517,1385.66109721328,611.97460626,3413.569735837,10.549744334
Clostridium sensu stricto,6,6570.886393484,1095.14773224733,1216.89797475548,780.151109,3285.4431965,9.006928404
Clostridium XlVa,9,6511.99533302,723.555037002222,982.1301939931,434.9619828,3255.99766637,144.62543667
Ornithinimicrobium,4,6466.79187587,1616.6979689675,1137.43400468622,1269.11192589,3233.39593796,695.17208613
Erythrobacter,7,6451.55017916,921.650025594286,1148.79228962536,337.20208921,3225.7750897,46.07496174
Bergeyella,2,6297.914315714,3148.957157857,0,3148.957157857,3148.957157857,3148.957157857
Thermus,6,6119.039672294,1019.83994538233,990.23470684275,850.6551980235,2870.273717827,189.24611842
Moraxella,4,6057.40964512,1514.35241128,1069.82807016379,1257.62377953,3028.70482241,513.45726365
Alistipes,3,6023.1645791,2007.72152636667,1263.96745574937,2423.293954,3011.5822897,588.2883354
Myxococcus,2,5986.4004718,2993.2002359,0,2993.2002359,2993.2002359,2993.2002359
Petrobacter,3,5932.081736086,1977.36057869533,1159.62233584225,2265.0737737,2966.040867943,700.967094443
Sphingopyxis,1,5859.76114788,5859.76114788,0,5859.76114788,5859.76114788,5859.76114788
Rubrobacter,5,5858.16410727,1171.632821454,1115.03182684275,1084.8142101,2929.08205377,28.15015106
Xanthomonas,5,5794.10868249,1158.821736498,1150.87938035793,1277.27568059,2897.05434149,75.4218242
